sampleid,experiment,set,compound,concentration_mM,compound_class,samplename,group,treatment,day,mouse.number
CC4,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Proline,0.9700000000000001,Amino Acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Tyramine,0.14,Other,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC5,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Glycine,0.17,Amino Acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Proline,1.16,Amino Acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Tyramine,0.17,Other,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC6,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Glycine,0.03,Amino Acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Proline,0.65,Amino Acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Tyramine,0.14,Other,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC7,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Glycine,0.15,Amino Acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Proline,1.39,Amino Acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC7,CCME11,1,Tyramine,0.05,Other,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
CC8,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Glycine,0.19,Amino Acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Proline,1.66,Amino Acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC8,CCME11,1,Tyramine,0.12,Other,MMF.16S.319_CC8,BpKH6,Ampicillin,-2,114
CC9,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Glycine,0.15,Amino Acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Proline,1.38,Amino Acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC9,CCME11,1,Tyramine,0.17,Other,MMF.16S.319_CC9,BpSCSK,Ampicillin,-2,115
CC10,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Glycine,0.05,Amino Acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Proline,1.3399999999999999,Amino Acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC10,CCME11,1,Tyramine,0.14,Other,MMF.16S.319_CC10,BpSCSK,Ampicillin,-2,116
CC11,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Glycine,0.07,Amino Acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Proline,1.39,Amino Acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC11,CCME11,1,Tyramine,0.02,Other,MMF.16S.319_CC11,BpSCSK,Ampicillin,-2,117
CC12,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Acetate,0,Fatty Acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Glycine,0.11,Amino Acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Proline,1.24,Amino Acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC12,CCME11,1,Tyramine,0.11,Other,MMF.16S.319_CC12,BpSCSK,Ampicillin,-2,118
CC13,CCME11,1,5-Aminovalerate,0.5,Fatty Acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Acetate,8.12,Fatty Acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Butyrate,2.5700000000000003,Fatty Acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Proline,0.24,Amino Acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Propionate,1.22,Fatty Acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC13,SPF,NA,1,119
CC13,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC13,SPF,NA,1,119
CC14,CCME11,1,5-Aminovalerate,0.33,Fatty Acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Acetate,6.3,Fatty Acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Butyrate,2.81,Fatty Acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Proline,0.09999999999999999,Amino Acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Propionate,1.1199999999999999,Fatty Acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC14,SPF,NA,1,120
CC14,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC14,SPF,NA,1,120
CC15,CCME11,1,5-Aminovalerate,0.78,Fatty Acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Acetate,14.68,Fatty Acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Butyrate,3.04,Fatty Acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Proline,0.21000000000000002,Amino Acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Propionate,2.1999999999999997,Fatty Acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC15,SPF,NA,1,121
CC15,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC15,SPF,NA,1,121
CC16,CCME11,1,5-Aminovalerate,0.4,Fatty Acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Acetate,14.39,Fatty Acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Butyrate,2.7800000000000002,Fatty Acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Proline,0.22000000000000003,Amino Acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Propionate,2.43,Fatty Acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Succinate,0.01,Organic acids,MMF.16S.319_CC16,SPF,NA,1,122
CC16,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC16,SPF,NA,1,122
CC17,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Acetate,0.95,Fatty Acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Butyrate,1.03,Fatty Acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Glycine,0.52,Amino Acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Proline,1.0899999999999999,Amino Acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC17,CCME11,1,Tyramine,0.36,Other,MMF.16S.319_CC17,PBS,Ampicillin,1,107
CC18,CCME11,1,5-Aminovalerate,4.6899999999999995,Fatty Acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Acetate,4.21,Fatty Acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Butyrate,1.1500000000000001,Fatty Acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Glycine,0.18,Amino Acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Proline,0.49,Amino Acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Propionate,0.8999999999999999,Fatty Acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC18,CCME11,1,Tyramine,0.16,Other,MMF.16S.319_CC18,PBS,Ampicillin,1,108
CC19,CCME11,1,5-Aminovalerate,0.21000000000000002,Fatty Acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Acetate,7.61,Fatty Acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Butyrate,1.6800000000000002,Fatty Acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Glycine,0.75,Amino Acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Proline,2.56,Amino Acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Propionate,0.69,Fatty Acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC19,CCME11,1,Tyramine,0.03,Other,MMF.16S.319_CC19,PBS,Ampicillin,1,109
CC20,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Acetate,0.41,Fatty Acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Butyrate,0.06999999999999998,Fatty Acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Glycine,0.25,Amino Acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Proline,0.55,Amino Acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC20,CCME11,1,Tyramine,0.25,Other,MMF.16S.319_CC20,PBS,Ampicillin,1,110
CC21,CCME11,1,5-Aminovalerate,3.98,Fatty Acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Acetate,2.5,Fatty Acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Butyrate,0.76,Fatty Acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Proline,0.19,Amino Acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Propionate,0.31,Fatty Acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC21,CCME11,1,Tyramine,0.1,Other,MMF.16S.319_CC21,BpKH6,Ampicillin,1,111
CC22,CCME11,1,5-Aminovalerate,5.3,Fatty Acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Acetate,4.14,Fatty Acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Butyrate,1.01,Fatty Acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Proline,0.27,Amino Acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Propionate,0.24000000000000005,Fatty Acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC22,CCME11,1,Tyramine,0.14,Other,MMF.16S.319_CC22,BpKH6,Ampicillin,1,112
CC23,CCME11,1,5-Aminovalerate,5.569999999999999,Fatty Acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Acetate,2.81,Fatty Acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Butyrate,0.24999999999999997,Fatty Acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Proline,0.15000000000000002,Amino Acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Propionate,0.16999999999999998,Fatty Acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC23,CCME11,1,Tyramine,0.16,Other,MMF.16S.319_CC23,BpKH6,Ampicillin,1,113
CC24,CCME11,1,5-Aminovalerate,0.37,Fatty Acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Acetate,1.32,Fatty Acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Butyrate,0.11999999999999997,Fatty Acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Glycine,0.43,Amino Acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Proline,0.59,Amino Acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC24,CCME11,1,Tyramine,0.12,Other,MMF.16S.319_CC24,BpKH6,Ampicillin,1,114
CC25,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Acetate,5,Fatty Acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Glycine,0.18,Amino Acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Proline,1.51,Amino Acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Propionate,0.99,Fatty Acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Succinate,3.43,Organic acids,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC25,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC25,BpSCSK,Ampicillin,1,115
CC26,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Acetate,4.64,Fatty Acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Proline,1.41,Amino Acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Propionate,0.8299999999999998,Fatty Acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Succinate,3.18,Organic acids,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC26,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC26,BpSCSK,Ampicillin,1,116
CC27,CCME11,1,5-Aminovalerate,0.030000000000000013,Fatty Acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Acetate,3.01,Fatty Acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Proline,0.78,Amino Acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Succinate,21.61,Organic acids,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC27,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC27,BpSCSK,Ampicillin,1,117
CC28,CCME11,1,5-Aminovalerate,0,Fatty Acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Acetate,1.92,Fatty Acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Butyrate,0,Fatty Acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Proline,0.41000000000000003,Amino Acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Propionate,0,Fatty Acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Succinate,1.74,Organic acids,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC28,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC28,BpSCSK,Ampicillin,1,118
CC29,CCME11,1,5-Aminovalerate,0.26,Fatty Acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Acetate,8.12,Fatty Acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Butyrate,2.74,Fatty Acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Proline,0.29000000000000004,Amino Acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Propionate,1.48,Fatty Acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC29,SPF,NA,3,119
CC29,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC29,SPF,NA,3,119
CC30,CCME11,1,5-Aminovalerate,0.79,Fatty Acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Acetate,3.53,Fatty Acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Butyrate,1.7000000000000002,Fatty Acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Glycine,0,Amino Acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Proline,0.3,Amino Acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Propionate,1.66,Fatty Acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Succinate,0,Organic acids,MMF.16S.319_CC30,SPF,NA,3,120
CC30,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC30,SPF,NA,3,120
CC31,CCME11,1,5-Aminovalerate,0.45000000000000007,Fatty Acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Acetate,9.44,Fatty Acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Butyrate,2.85,Fatty Acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Glycine,0.04,Amino Acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Proline,0.26,Amino Acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Propionate,1.85,Fatty Acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Succinate,0.12,Organic acids,MMF.16S.319_CC31,SPF,NA,3,121
CC31,CCME11,1,Tyramine,0,Other,MMF.16S.319_CC31,SPF,NA,3,121
