sampleid,experiment,set,compound,concentration_ugmL,compound_class,internal_standadard_used_for_normalization,CAS_number,formal_name,abbreviation,molecular_formula,neutral_mass,concentration_mM,concentration_µM,samplename,group,treatment,day,mouse.number
CC1,CCME11,1,Lithocholic Acid,0.0133333333333333,Secondary,D4 Lithocholic acid,434-13-9,5_-Cholanic acid-3_-ol,LCA,C24H40O3,376.2977,3.5432938690120346e-5,0.03543293869012035,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Taurochenodeoxycholic Acid,2.47333333333333,Primary Conjugated,D4 Taurodeoxycholic acid,6009-98-9,"5_-Cholanic acid-3_, 7_-diol N-(2-sulphoethyl)-amide",TCDCA,C26H45NO6S,499.2968,0.0049536334567602475,4.953633456760247,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Taurocholic Acid,69.8833333333333,Primary Conjugated,D4 Taurocholic acid,345909-26-4,"5_-Cholanic acid-3_, 7_, 12_-triol N-(2-sulphoethyl)-amide",TCA,C26H45NO7S,515.2917,0.13561897723819982,135.61897723819982,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Ursocholic Acid,0.02,Secondary,D4 Cholic acid,2955-27-3,"5_-Cholanic acid-3_, 7_, 12_-triol",UCA,C24H40O5,408.2876,4.898507816548923e-5,0.04898507816548923,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC1,CCME11,1,Ursodeoxycholic Acid,0.00333333333333335,Secondary,D4 Deoxycholic acid,128-13-2,"5_-Cholanic acid-3_, 7_-diol",UDCA,C24H40O4,392.2927,8.497056746998732e-6,0.008497056746998733,MMF.16S.319_CC1,PBS,Ampicillin,-2,107
CC2,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Allocholic Acid,0.0333333333333334,Secondary,D4 Cholic acid,2464-18-8,"3_,7_,12_-Trihydroxy-5_-cholan-24-oic acid",alloCA,C24H40O5,408.2876,8.164179694248222e-5,0.08164179694248222,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Alloisolithocholic Acid,0,Secondary,D4 Lithocholic acid,2276-93-9,5_-Cholanic acid-3_-ol,isoalloLCA,C24H40O3,376.2978,0,0,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Alpha-Muricholic Acid,0.666666666666667,Primary Rodent,D5 Alpha-Muricholic Acid,2393-58-0,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.0016328359388496417,1.6328359388496416,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Beta-Muricholic Acid,2.96333333333333,Primary Rodent,D5 Alpha-Muricholic Acid,2393-59-1,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.007257955748186645,7.257955748186645,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Chenodeoxycholic Acid,0.136666666666667,Primary,D4 Deoxycholic acid,474-25-9,"5_-Cholanic acid-3_,7_-diol",CDCA,C24H40O4,392.2927,3.483793266269471e-4,0.3483793266269471,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Cholic Acid,3.98333333333333,Primary,D4 Cholic acid,81-25-4,"5_-Cholanic acid-3_, 7_, 12_-triol",CA,C24H40O5,408.2876,0.009756194734626597,9.756194734626597,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Deoxycholic Acid,0,Secondary,D4 Deoxycholic acid,83-44-3,"5_-Cholanic acid-3_, 12_-diol",DCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Glycochenodeoxycholic Acid,0,Primary Conjugated,D4 Glycodeoxycholic acid,16564-43-5,"5_-Cholanic acid-3_, 7_-diol N-(carboxymethyl)-amide",GCDCA,C26H43NO5,449.3141,0,0,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Glycocholic Acid,0.0533333333333333,Primary Conjugated,D4 Glycocholic Acid,475-31-0,"5_-Cholanic acid-3_, 7_, 12_-triol N-(carboxymethyl)-amide",GCA,C26H43NO6,465.309,1.1461917421183193e-4,0.11461917421183193,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Isodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,570-63-8,"5_-Cholanic acid-3_, 12_-diol",IsoDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Lithocholic Acid,0.00333333333333333,Secondary,D4 Lithocholic acid,434-13-9,5_-Cholanic acid-3_-ol,LCA,C24H40O3,376.2977,8.8582346725301e-6,0.0088582346725301,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Taurochenodeoxycholic Acid,2.90333333333333,Primary Conjugated,D4 Taurodeoxycholic acid,6009-98-9,"5_-Cholanic acid-3_, 7_-diol N-(2-sulphoethyl)-amide",TCDCA,C26H45NO6S,499.2968,0.005814844664202394,5.814844664202394,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Taurocholic Acid,167.413333333333,Primary Conjugated,D4 Taurocholic acid,345909-26-4,"5_-Cholanic acid-3_, 7_, 12_-triol N-(2-sulphoethyl)-amide",TCA,C26H45NO7S,515.2917,0.3248904132034981,324.8904132034981,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Ursocholic Acid,0.01,Secondary,D4 Cholic acid,2955-27-3,"5_-Cholanic acid-3_, 7_, 12_-triol",UCA,C24H40O5,408.2876,2.4492539082744615e-5,0.024492539082744614,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC2,CCME11,1,Ursodeoxycholic Acid,0.00333333333333335,Secondary,D4 Deoxycholic acid,128-13-2,"5_-Cholanic acid-3_, 7_-diol",UDCA,C24H40O4,392.2927,8.497056746998732e-6,0.008497056746998733,MMF.16S.319_CC2,PBS,Ampicillin,-2,108
CC3,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Allocholic Acid,2.14333333333333,Secondary,D4 Cholic acid,2464-18-8,"3_,7_,12_-Trihydroxy-5_-cholan-24-oic acid",alloCA,C24H40O5,408.2876,0.005249567543401588,5.249567543401588,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Alloisolithocholic Acid,0,Secondary,D4 Lithocholic acid,2276-93-9,5_-Cholanic acid-3_-ol,isoalloLCA,C24H40O3,376.2978,0,0,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Alpha-Muricholic Acid,15.8466666666667,Primary Rodent,D5 Alpha-Muricholic Acid,2393-58-0,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.038812510266456046,38.812510266456044,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Beta-Muricholic Acid,102.333333333333,Primary Rodent,D5 Alpha-Muricholic Acid,2393-59-1,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.25064031661341907,250.64031661341906,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Chenodeoxycholic Acid,3.22666666666667,Primary,D4 Deoxycholic acid,474-25-9,"5_-Cholanic acid-3_,7_-diol",CDCA,C24H40O4,392.2927,0.008225150931094742,8.225150931094742,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Cholic Acid,78.9633333333333,Primary,D4 Cholic acid,81-25-4,"5_-Cholanic acid-3_, 7_, 12_-triol",CA,C24H40O5,408.2876,0.19340125277704562,193.4012527770456,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Deoxycholic Acid,0,Secondary,D4 Deoxycholic acid,83-44-3,"5_-Cholanic acid-3_, 12_-diol",DCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Glycochenodeoxycholic Acid,0,Primary Conjugated,D4 Glycodeoxycholic acid,16564-43-5,"5_-Cholanic acid-3_, 7_-diol N-(carboxymethyl)-amide",GCDCA,C26H43NO5,449.3141,0,0,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Glycocholic Acid,0,Primary Conjugated,D4 Glycocholic Acid,475-31-0,"5_-Cholanic acid-3_, 7_, 12_-triol N-(carboxymethyl)-amide",GCA,C26H43NO6,465.309,0,0,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Isodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,570-63-8,"5_-Cholanic acid-3_, 12_-diol",IsoDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Lithocholic Acid,0.0133333333333333,Secondary,D4 Lithocholic acid,434-13-9,5_-Cholanic acid-3_-ol,LCA,C24H40O3,376.2977,3.5432938690120346e-5,0.03543293869012035,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Taurochenodeoxycholic Acid,1.16333333333333,Primary Conjugated,D4 Taurodeoxycholic acid,6009-98-9,"5_-Cholanic acid-3_, 7_-diol N-(2-sulphoethyl)-amide",TCDCA,C26H45NO6S,499.2968,0.0023299434992039405,2.3299434992039405,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Taurocholic Acid,33.6433333333333,Primary Conjugated,D4 Taurocholic acid,345909-26-4,"5_-Cholanic acid-3_, 7_, 12_-triol N-(2-sulphoethyl)-amide",TCA,C26H45NO7S,515.2917,0.06528988014620321,65.28988014620322,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Ursocholic Acid,0.29,Secondary,D4 Cholic acid,2955-27-3,"5_-Cholanic acid-3_, 7_, 12_-triol",UCA,C24H40O5,408.2876,7.102836333995938e-4,0.7102836333995938,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC3,CCME11,1,Ursodeoxycholic Acid,0.883333333333333,Secondary,D4 Deoxycholic acid,128-13-2,"5_-Cholanic acid-3_, 7_-diol",UDCA,C24H40O4,392.2927,0.002251720037954652,2.251720037954652,MMF.16S.319_CC3,PBS,Ampicillin,-2,109
CC4,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Allocholic Acid,0,Secondary,D4 Cholic acid,2464-18-8,"3_,7_,12_-Trihydroxy-5_-cholan-24-oic acid",alloCA,C24H40O5,408.2876,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Alloisolithocholic Acid,0,Secondary,D4 Lithocholic acid,2276-93-9,5_-Cholanic acid-3_-ol,isoalloLCA,C24H40O3,376.2978,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Alpha-Muricholic Acid,0.0466666666666667,Primary Rodent,D5 Alpha-Muricholic Acid,2393-58-0,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,1.1429851571947495e-4,0.11429851571947494,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Beta-Muricholic Acid,0.343333333333333,Primary Rodent,D5 Alpha-Muricholic Acid,2393-59-1,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,8.409105085075642e-4,0.8409105085075642,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Chenodeoxycholic Acid,0,Primary,D4 Deoxycholic acid,474-25-9,"5_-Cholanic acid-3_,7_-diol",CDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Cholic Acid,0.243333333333333,Primary,D4 Cholic acid,81-25-4,"5_-Cholanic acid-3_, 7_, 12_-triol",CA,C24H40O5,408.2876,5.959851176801182e-4,0.5959851176801182,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Deoxycholic Acid,0,Secondary,D4 Deoxycholic acid,83-44-3,"5_-Cholanic acid-3_, 12_-diol",DCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Glycochenodeoxycholic Acid,0,Primary Conjugated,D4 Glycodeoxycholic acid,16564-43-5,"5_-Cholanic acid-3_, 7_-diol N-(carboxymethyl)-amide",GCDCA,C26H43NO5,449.3141,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Glycocholic Acid,0,Primary Conjugated,D4 Glycocholic Acid,475-31-0,"5_-Cholanic acid-3_, 7_, 12_-triol N-(carboxymethyl)-amide",GCA,C26H43NO6,465.309,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Isodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,570-63-8,"5_-Cholanic acid-3_, 12_-diol",IsoDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Lithocholic Acid,0,Secondary,D4 Lithocholic acid,434-13-9,5_-Cholanic acid-3_-ol,LCA,C24H40O3,376.2977,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Taurochenodeoxycholic Acid,2.16333333333333,Primary Conjugated,D4 Taurodeoxycholic acid,6009-98-9,"5_-Cholanic acid-3_, 7_-diol N-(2-sulphoethyl)-amide",TCDCA,C26H45NO6S,499.2968,0.004332760260697305,4.332760260697305,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Taurocholic Acid,60.0333333333333,Primary Conjugated,D4 Taurocholic acid,345909-26-4,"5_-Cholanic acid-3_, 7_, 12_-triol N-(2-sulphoethyl)-amide",TCA,C26H45NO7S,515.2917,0.11650359074934315,116.50359074934315,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Ursocholic Acid,0,Secondary,D4 Cholic acid,2955-27-3,"5_-Cholanic acid-3_, 7_, 12_-triol",UCA,C24H40O5,408.2876,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC4,CCME11,1,Ursodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,128-13-2,"5_-Cholanic acid-3_, 7_-diol",UDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC4,PBS,Ampicillin,-2,110
CC5,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Allocholic Acid,0.0433333333333334,Secondary,D4 Cholic acid,2464-18-8,"3_,7_,12_-Trihydroxy-5_-cholan-24-oic acid",alloCA,C24H40O5,408.2876,1.0613433602522682e-4,0.10613433602522682,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Alloisolithocholic Acid,0,Secondary,D4 Lithocholic acid,2276-93-9,5_-Cholanic acid-3_-ol,isoalloLCA,C24H40O3,376.2978,0,0,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Alpha-Muricholic Acid,0.516666666666667,Primary Rodent,D5 Alpha-Muricholic Acid,2393-58-0,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.0012654478526084726,1.2654478526084727,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Beta-Muricholic Acid,2.94333333333333,Primary Rodent,D5 Alpha-Muricholic Acid,2393-59-1,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.007208970670021156,7.208970670021156,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Chenodeoxycholic Acid,0.286666666666667,Primary,D4 Deoxycholic acid,474-25-9,"5_-Cholanic acid-3_,7_-diol",CDCA,C24H40O4,392.2927,7.307468802418883e-4,0.7307468802418883,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Cholic Acid,4.36333333333333,Primary,D4 Cholic acid,81-25-4,"5_-Cholanic acid-3_, 7_, 12_-triol",CA,C24H40O5,408.2876,0.010686911219770891,10.686911219770892,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Deoxycholic Acid,0,Secondary,D4 Deoxycholic acid,83-44-3,"5_-Cholanic acid-3_, 12_-diol",DCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Glycochenodeoxycholic Acid,0.0133333333333333,Primary Conjugated,D4 Glycodeoxycholic acid,16564-43-5,"5_-Cholanic acid-3_, 7_-diol N-(carboxymethyl)-amide",GCDCA,C26H43NO5,449.3141,2.967486071176778e-5,0.029674860711767777,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Glycocholic Acid,0,Primary Conjugated,D4 Glycocholic Acid,475-31-0,"5_-Cholanic acid-3_, 7_, 12_-triol N-(carboxymethyl)-amide",GCA,C26H43NO6,465.309,0,0,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Isodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,570-63-8,"5_-Cholanic acid-3_, 12_-diol",IsoDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Lithocholic Acid,0,Secondary,D4 Lithocholic acid,434-13-9,5_-Cholanic acid-3_-ol,LCA,C24H40O3,376.2977,0,0,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Taurochenodeoxycholic Acid,1.06333333333333,Primary Conjugated,D4 Taurodeoxycholic acid,6009-98-9,"5_-Cholanic acid-3_, 7_-diol N-(2-sulphoethyl)-amide",TCDCA,C26H45NO6S,499.2968,0.0021296618230546038,2.1296618230546036,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Taurocholic Acid,33.9033333333333,Primary Conjugated,D4 Taurocholic acid,345909-26-4,"5_-Cholanic acid-3_, 7_, 12_-triol N-(2-sulphoethyl)-amide",TCA,C26H45NO7S,515.2917,0.06579444872357405,65.79444872357405,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Ursocholic Acid,0.17,Secondary,D4 Cholic acid,2955-27-3,"5_-Cholanic acid-3_, 7_, 12_-triol",UCA,C24H40O5,408.2876,4.163731644066585e-4,0.41637316440665845,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC5,CCME11,1,Ursodeoxycholic Acid,0.00333333333333335,Secondary,D4 Deoxycholic acid,128-13-2,"5_-Cholanic acid-3_, 7_-diol",UDCA,C24H40O4,392.2927,8.497056746998732e-6,0.008497056746998733,MMF.16S.319_CC5,BpKH6,Ampicillin,-2,111
CC6,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Allocholic Acid,4.60333333333333,Secondary,D4 Cholic acid,2464-18-8,"3_,7_,12_-Trihydroxy-5_-cholan-24-oic acid",alloCA,C24H40O5,408.2876,0.011274732157756763,11.274732157756763,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Alloisolithocholic Acid,0,Secondary,D4 Lithocholic acid,2276-93-9,5_-Cholanic acid-3_-ol,isoalloLCA,C24H40O3,376.2978,0,0,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Alpha-Muricholic Acid,32.8066666666667,Primary Rodent,D5 Alpha-Muricholic Acid,2393-58-0,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.08035185655079091,80.35185655079091,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Beta-Muricholic Acid,272.803333333333,Primary Rodent,D5 Alpha-Muricholic Acid,2393-59-1,"5_-Cholanic acid-3_, 6_, 7_-triol",_MCA,C24H40O5,408.2876,0.6681646303569665,668.1646303569665,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Chenodeoxycholic Acid,5.37666666666667,Primary,D4 Deoxycholic acid,474-25-9,"5_-Cholanic acid-3_,7_-diol",CDCA,C24H40O4,392.2927,0.013705752532908896,13.705752532908896,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Cholic Acid,162.793333333333,Primary,D4 Cholic acid,81-25-4,"5_-Cholanic acid-3_, 7_, 12_-triol",CA,C24H40O5,408.2876,0.398722207907693,398.722207907693,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Deoxycholic Acid,0,Secondary,D4 Deoxycholic acid,83-44-3,"5_-Cholanic acid-3_, 12_-diol",DCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Glycochenodeoxycholic Acid,0.0033333333333333,Primary Conjugated,D4 Glycodeoxycholic acid,16564-43-5,"5_-Cholanic acid-3_, 7_-diol N-(carboxymethyl)-amide",GCDCA,C26H43NO5,449.3141,7.41871517794189e-6,0.00741871517794189,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Glycocholic Acid,0.173333333333333,Primary Conjugated,D4 Glycocholic Acid,475-31-0,"5_-Cholanic acid-3_, 7_, 12_-triol N-(carboxymethyl)-amide",GCA,C26H43NO6,465.309,3.7251231618845327e-4,0.37251231618845326,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Isodeoxycholic Acid,0,Secondary,D4 Deoxycholic acid,570-63-8,"5_-Cholanic acid-3_, 12_-diol",IsoDCA,C24H40O4,392.2927,0,0,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Lithocholic Acid,0,Secondary,D4 Lithocholic acid,434-13-9,5_-Cholanic acid-3_-ol,LCA,C24H40O3,376.2977,0,0,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Taurochenodeoxycholic Acid,0.843333333333333,Primary Conjugated,D4 Taurodeoxycholic acid,6009-98-9,"5_-Cholanic acid-3_, 7_-diol N-(2-sulphoethyl)-amide",TCDCA,C26H45NO6S,499.2968,0.00168904213552607,1.6890421355260699,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Taurocholic Acid,26.7833333333333,Primary Conjugated,D4 Taurocholic acid,345909-26-4,"5_-Cholanic acid-3_, 7_, 12_-triol N-(2-sulphoethyl)-amide",TCA,C26H45NO7S,515.2917,0.051977032297111134,51.97703229711114,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Ursocholic Acid,1,Secondary,D4 Cholic acid,2955-27-3,"5_-Cholanic acid-3_, 7_, 12_-triol",UCA,C24H40O5,408.2876,0.0024492539082744615,2.4492539082744615,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC6,CCME11,1,Ursodeoxycholic Acid,3.65333333333333,Secondary,D4 Deoxycholic acid,128-13-2,"5_-Cholanic acid-3_, 7_-diol",UDCA,C24H40O4,392.2927,0.009312774194710556,9.312774194710556,MMF.16S.319_CC6,BpKH6,Ampicillin,-2,112
CC7,CCME11,1,3-Oxolithocholic Acid,0,Secondary,D4 Lithocholic acid,1553-56-6,3-Oxo-5_-cholanoic Acid,3-oxoLCA,C24H38O3,374.2821,0,0,MMF.16S.319_CC7,BpKH6,Ampicillin,-2,113
